1;What an outstanding movie. I love the way that they've developed all the characters. Also we they made the closeness of the family come out. It is a coming-of-age movie where the family, close as children, grow up, get married, and drift off into their own lives.
1;Another remake of Little Women--and this one is spectacular. Instead of telling the story in a linear fashion, Gerwig begins in the present and then flashes back and flashes forward and back again, etc., unpeeling layers of meaning and emotion in the process. The cast is superb--Saoirse Ronan is dazzling as is the camera work and musical score. Why would Gerwig choose to present the narrative complexly rather than in a straightforward manner? The latter approach has already been done ad nauseum, for one. Secondly, Gerwig has made Jo into Alcott's alter ego, and as Jo struggles to get published in New York, she reminisces about her adolescence and early adulthood in the March family. When one thinks, there are no time constraints--you can be anywhere, anytime you want and jump freely as your thoughts inspire you. As the audience for the film witnesses this random sequencing, we experience new anticipations, meanings, and insights not possible in a linear presentation. If the movie frustrated you, I urge you to watch it again with these ideas in mind at a bargain theater or certainly on cable--the experience will be rewarding
1;Incredible writing, performances, cinematography, and score. Felt like I was living in the world with all of the characters. Saoirse Ronan deserves to win Best Actress.
1;This was definitely my favorite movie of the year. Even though the expectations were high and this story has been told so many times this version was so unique and powerful in comparison. Greta Gerwig did a phenomenal job along with the amazing cast. Saoirse Ronan as Jo March was destiny and Florence Pugh as Amy March was a real scene stealer. The acting performances and the directing truly make this movie Oscar worthy.
1;The best movie, the best screenplay،In one opinion, we can say that it is a complete, unique film.
1;simply one of the best films of all time, a classic, masterpiece of what we call cinematography.
1;This is an absolute masterpiece and one of the best movies ever made. Excellent performances, soundtrack, cinematography and in everything else across the board.
1;An absolute masterpiece from its first frame tell the last. Coppola brought nuance and humanity to this world, while also bringing melancholy and grandiosity to the style.
1;Not having read the novels, I have to say that the "Godfather" tells the story incredibly well. It is indeed long, but so well performed, that the slow paste doesn't really affect it. Moreover, the acting is at its finest.
1;This is what movies should strive to be. Every scene, every frame oozing with perfection. Marlon Brandon gives his best ever performance and really sets up a trilogy. Im glad this was made thank you Coppola
1;The Godfather, to me, is the greatest film of all time. It's a masterpiece, it is nothing short of perfection, I don't have a single bad thing to say about it.
1;This is such a mesmerizing movie with such greatness in everything like the performamces, the cinematography and the direction.
1;Absolutely, positively the greatest movie ever made. Every frame is perfection from start to finish. It will never be bettered. There is nothing more to add.
1;The best film I have ever seen. May get a fair amount of criticism nowadays but to think that this film was made 40 years ago, that's pretty incredible!
1;Amazing! One of the best romance movies I've seen. The acting is spot on, Spike Jonze direction and script are incredible. As of right now my favourite movie of 2013.
1;A beautiful movie with sincere and relaxing moments, extraordinary performances, a undeniably powerful script, amazing soundtrack and a spectacular Spike Jonze's directing who gives us good information about the state of modern human relationships.
1;The biggest reason why I love this movie so much is not just because of the great plot but the fact that Joaquin Phoenix gave a masterful performance that was well worthy to win any best actor award. A truly must see film and by far the best film of 2013, Even beats a majority of the crap I've seen so far in 2014.
1;It's hard to express how much I love this film. Spike Jonze directs this film flawlessly with gorgeous shot after gorgeous shot. This is one of the most believable love story's I've ever seen and that credit goes to the phenomenal performance by Joaquin Phoenix and one of Scarlett Johansson's best performances even though it was only her voice. Her is breathtaking and my new favorite film of 2013.
1;Appropriate to think of it as a feature-length Twilight Zone episode. Funny, thoughtful, really well done. Fine acting all around... Phoenix in particular. Never really knew where the story was going, which was nice.
1;Awesome movie. It feels very original, and is written on a topic that isn't talked about much. The acting was amazing as well. It had to be, because most of the movie is dialogue and only one person is on screen. SJ did a fantastic job voicing the AI and really showed a ton of emotion with just her voice. You could feel what she was feeling.
1;Believe the hype. It's a visual masterpiece. Almost a single two hour action scene. There isn't a moment that goes by that the scenery isn't jaw dropping, the soundtrack stirring, and the action blistering. If you like your movies long and slowly building, maybe stay at home, this will probably give you a heart-attack.
1;Easily the best action movie of the last 20 odd years and the first franchise movie in recent memory that deserves getting a reboot. Fury Road features stunt work that makes all the superhero flicks look like Mattel commercials in comparison. The hype is real, guys.
1;As a huge fan of the previous films and having high expectations for Fury Road, I must say I was NOT disappointed. It's amazing and simply the best action film I've ever seen. When it really gets going, it's more frantic and pulse pounding than any video game I've ever played. Movie of the year so far.
1;George Miller has created a new language for action movies. The movie delivers the best breath-taking scenes. There is art in each take. The movie speaks by itself -- it is one of the rarest cases in which there is no need to explain about the movie.
1;One of the best action movies ever made in this century, From the beginning the action is instigating, soundtrack frantically frantic and although there is no script of a certain form it is there, Very good characters and spectacular action scenes, Photography is very good, assembly and mixing spectacular, Do not have to talk about this movie, simply the person have to watch to see how Mad Max is the best action movie ever made in these last times !!! 
1;Fury Road is one of the best if not the the best in the franchise. A masterpiece of gigantic proportions and a pedal to the metal furious experience. Groundbreaking and visually impressive.
1;A masterpiece of action, beautifuly produced. You can feel the passion that the director put on this work. It's a completely visual spectacle that you can watch again and again and again...
1;One of the Best action movie ever made. Well crafted screenplay and brilliant action choreography made this film a masterpiece
1;This is one of those films that just has everything, with a strong cast and premise its hard not to love what you're watching here.
